Day,Date,Open ,High,Low ,Close,Volume
Thu,01-19-2023,63.8,63.8,61.6,61.6,0
Wed,01-18-2023,64.2,65.2,64.2,64.4,0
Tue,01-17-2023,63.4,64.4,63.4,64.4,0
Fri,01-13-2023,61.2,63.2,61,63.2,0
Thu,01-12-2023,60.2,61.2,59.4,61.2,0
Wed,01-11-2023,55.8,59,55.8,59,0
Tue,01-10-2023,53.2,54.2,53.2,54.2,0
Mon,01-09-2023,50.4,53.6,50.4,53.4,0
Fri,01-06-2023,46,48.8,45,48.8,0
Thu,01-05-2023,46,46.4,45.2,45.2,0
Wed,01-04-2023,45,46.6,44.8,46.2,0
Tue,01-03-2023,45,45.6,45,45.2,0
Fri,12-30-2022,44,44,43.8,43.8,0
Thu,12-29-2022,43.2,44,43.2,44,0
Wed,12-28-2022,43.2,43.2,43,43.2,0
Tue,12-27-2022,42,43.2,41.6,43,0
Fri,12-23-2022,41.2,41.8,41.2,41.8,0
Thu,12-22-2022,42.8,42.8,41,41,0
Wed,12-21-2022,43,43,42.6,43,0
Tue,12-20-2022,44.8,44.8,43,43,0
Mon,12-19-2022,50.4,50.4,46.4,46.4,0
Fri,12-16-2022,58,58,50.4,50.6,0
Thu,12-15-2022,68.6,68.6,61.8,61.8,0
Wed,12-14-2022,71.8,71.8,70.6,70.6,0
Tue,12-13-2022,71.6,72.4,71.4,72,0
Mon,12-12-2022,67.2,67.2,67,67.2,0
Fri,12-09-2022,68.2,68.2,67.4,67.4,0
Thu,12-08-2022,68.8,68.8,68.4,68.4,0
Wed,12-07-2022,70,70,68.8,68.8,0
Tue,12-06-2022,75.8,75.8,70.8,70.8,0
Mon,12-05-2022,78.2,78.2,76.2,76.2,0
Fri,12-02-2022,77.8,78.4,77.8,78.4,0
Thu,12-01-2022,75.8,78.2,75.8,78.2,0
Wed,11-30-2022,72.4,74.8,71.2,74.8,0
Tue,11-29-2022,72.6,72.8,72.4,72.6,0
Mon,11-28-2022,72.6,73.4,72.6,72.6,0
Fri,11-25-2022,71.2,72.2,71.2,72.2,0
Wed,11-23-2022,70.2,71.2,70.2,70.8,0
Tue,11-22-2022,69.8,70,69.6,70,0
Mon,11-21-2022,70.6,70.6,69.4,69.6,0
Fri,11-18-2022,70.4,70.6,70.2,70.6,0
Thu,11-17-2022,72.2,72.2,70.2,70.2,0
Wed,11-16-2022,74.4,74.4,73.4,73.4,0
Tue,11-15-2022,75,75.6,75,75.4,0
Mon,11-14-2022,74,74.8,74,74.6,0
Fri,11-11-2022,72.8,74.2,72.8,74.2,0
Thu,11-10-2022,66.6,71.8,66.6,71.8,0
Wed,11-09-2022,62.8,62.8,61.6,61.6,0
Tue,11-08-2022,61.2,63,61,62.8,0
Mon,11-07-2022,60.2,61.2,60.2,61.2,0
