day,time,open,high,low,close
Thu,2023-01-19,63.8,63.8,61.6,61.6
Wed,2023-01-18,64.2,65.2,64.2,64.4
Tue,2023-01-17,63.4,64.4,63.4,64.4
Fri,2023-01-13,61.2,63.2,61.0,63.2
Thu,2023-01-12,60.2,61.2,59.4,61.2
Wed,2023-01-11,55.8,59.0,55.8,59.0
Tue,2023-01-10,53.2,54.2,53.2,54.2
Mon,2023-01-09,50.4,53.6,50.4,53.4
Fri,2023-01-06,46.0,48.8,45.0,48.8
Thu,2023-01-05,46.0,46.4,45.2,45.2
Wed,2023-01-04,45.0,46.6,44.8,46.2
Tue,2023-01-03,45.0,45.6,45.0,45.2
Fri,2022-12-30,44.0,44.0,43.8,43.8
Thu,2022-12-29,43.2,44.0,43.2,44.0
Wed,2022-12-28,43.2,43.2,43.0,43.2
Tue,2022-12-27,42.0,43.2,41.6,43.0
Fri,2022-12-23,41.2,41.8,41.2,41.8
Thu,2022-12-22,42.8,42.8,41.0,41.0
Wed,2022-12-21,43.0,43.0,42.6,43.0
Tue,2022-12-20,44.8,44.8,43.0,43.0
Mon,2022-12-19,50.4,50.4,46.4,46.4
Fri,2022-12-16,58.0,58.0,50.4,50.6
Thu,2022-12-15,68.6,68.6,61.8,61.8
Wed,2022-12-14,71.8,71.8,70.6,70.6
Tue,2022-12-13,71.6,72.4,71.4,72.0
Mon,2022-12-12,67.2,67.2,67.0,67.2
Fri,2022-12-09,68.2,68.2,67.4,67.4
Thu,2022-12-08,68.8,68.8,68.4,68.4
Wed,2022-12-07,70.0,70.0,68.8,68.8
Tue,2022-12-06,75.8,75.8,70.8,70.8
Mon,2022-12-05,78.2,78.2,76.2,76.2
Fri,2022-12-02,77.8,78.4,77.8,78.4
Thu,2022-12-01,75.8,78.2,75.8,78.2
Wed,2022-11-30,72.4,74.8,71.2,74.8
Tue,2022-11-29,72.6,72.8,72.4,72.6
Mon,2022-11-28,72.6,73.4,72.6,72.6
Fri,2022-11-25,71.2,72.2,71.2,72.2
Wed,2022-11-23,70.2,71.2,70.2,70.8
Tue,2022-11-22,69.8,70.0,69.6,70.0
Mon,2022-11-21,70.6,70.6,69.4,69.6
Fri,2022-11-18,70.4,70.6,70.2,70.6
Thu,2022-11-17,72.2,72.2,70.2,70.2
Wed,2022-11-16,74.4,74.4,73.4,73.4
Tue,2022-11-15,75.0,75.6,75.0,75.4
Mon,2022-11-14,74.0,74.8,74.0,74.6
Fri,2022-11-11,72.8,74.2,72.8,74.2
Thu,2022-11-10,66.6,71.8,66.6,71.8
Wed,2022-11-09,62.8,62.8,61.6,61.6
Tue,2022-11-08,61.2,63.0,61.0,62.8
Mon,2022-11-07,60.2,61.2,60.2,61.2
Fri,2022-11-04,59.6,60.2,59.0,60.0
Thu,2022-11-03,61.2,61.2,58.6,58.6
Wed,2022-11-02,67.4,67.6,65.4,65.4
Tue,2022-11-01,67.0,67.4,66.8,66.8
Mon,2022-10-31,66.0,66.8,66.0,66.6
Fri,2022-10-28,63.0,65.8,63.0,65.8
Thu,2022-10-27,60.8,63.0,60.8,63.0
Wed,2022-10-26,55.6,60.4,55.4,60.2
Tue,2022-10-25,41.0,53.6,40.6,53.6
Mon,2022-10-24,35.2,39.0,35.2,39.0
Fri,2022-10-21,31.6,33.6,31.2,33.6
Thu,2022-10-20,31.6,32.8,31.2,32.2
Wed,2022-10-19,32.6,33.0,31.8,32.0
Tue,2022-10-18,29.6,32.6,29.6,32.6
Mon,2022-10-17,22.8,23.2,22.6,23.2
Fri,2022-10-14,21.0,22.8,21.0,22.6
Thu,2022-10-13,19.0,19.0,17.2,18.8
Wed,2022-10-12,22.6,22.8,22.6,22.6
Tue,2022-10-11,23.8,23.8,23.0,23.0
Mon,2022-10-10,25.6,25.8,24.2,24.2
Fri,2022-10-07,26.4,26.4,25.4,25.4
Thu,2022-10-06,26.6,27.4,26.6,26.8
Wed,2022-10-05,25.2,26.6,25.0,26.6
Tue,2022-10-04,20.0,25.0,20.0,25.0
Mon,2022-10-03,11.8,14.0,11.8,14.0
Fri,2022-09-30,12.2,12.2,11.6,11.6
Thu,2022-09-29,12.6,12.6,12.0,12.2
Wed,2022-09-28,11.4,12.8,11.2,12.8
Tue,2022-09-27,12.2,12.2,11.2,11.2
Mon,2022-09-26,13.8,13.8,12.2,12.2
Fri,2022-09-23,19.4,19.6,13.8,13.8
Thu,2022-09-22,29.6,29.6,23.8,23.8
Wed,2022-09-21,35.6,35.6,31.2,31.2
Tue,2022-09-20,39.6,39.6,35.6,35.6
Mon,2022-09-19,41.2,41.2,39.6,39.6
Fri,2022-09-16,48.0,48.0,41.8,41.8
Thu,2022-09-15,52.4,52.4,49.6,49.6
Wed,2022-09-14,58.6,58.6,52.8,52.8
Tue,2022-09-13,61.2,61.2,59.0,59.0
Mon,2022-09-12,59.6,61.2,59.6,61.2
Fri,2022-09-09,55.4,59.0,55.4,59.0
Thu,2022-09-08,51.6,54.2,51.6,54.0
Wed,2022-09-07,49.6,51.6,49.2,51.6
Tue,2022-09-06,50.8,50.8,49.6,49.6
Fri,2022-09-02,50.8,50.8,50.8,50.8
Thu,2022-09-01,53.0,53.0,50.8,50.8
Wed,2022-08-31,55.8,55.8,54.4,54.4
Tue,2022-08-30,59.0,59.0,55.8,55.8
Mon,2022-08-29,60.4,60.4,59.0,59.0
Fri,2022-08-26,68.0,68.0,64.6,64.6
Thu,2022-08-25,67.2,67.8,67.2,67.8
Wed,2022-08-24,67.8,67.8,67.4,67.4
Tue,2022-08-23,71.0,71.0,68.4,68.4
Mon,2022-08-22,74.4,74.6,71.0,71.0
Fri,2022-08-19,79.0,79.0,77.0,77.0
Thu,2022-08-18,79.2,79.6,79.2,79.4
Wed,2022-08-17,80.4,80.4,79.2,79.2
Tue,2022-08-16,80.6,81.0,80.6,81.0
Mon,2022-08-15,78.6,80.6,78.6,80.6
Fri,2022-08-12,76.6,78.6,76.6,78.6
Thu,2022-08-11,75.0,76.8,75.0,76.6
Wed,2022-08-10,72.6,73.6,72.6,73.6
Tue,2022-08-09,74.2,74.4,72.0,72.0
Mon,2022-08-08,73.6,74.6,73.6,74.6
Fri,2022-08-05,73.6,73.8,73.2,73.6
Thu,2022-08-04,73.6,74.6,73.2,74.4
Wed,2022-08-03,74.0,74.2,73.8,73.8
Tue,2022-08-02,73.4,74.0,73.4,74.0
Mon,2022-08-01,71.4,72.8,71.4,72.8
Fri,2022-07-29,68.8,71.4,68.6,71.4
Thu,2022-07-28,64.8,68.4,64.6,68.4
Wed,2022-07-27,61.0,63.4,61.0,63.4
Tue,2022-07-26,59.4,60.6,59.4,60.6
Mon,2022-07-25,58.2,59.4,58.2,59.2
Fri,2022-07-22,57.2,58.2,57.2,58.2
Thu,2022-07-21,53.4,56.2,53.2,56.2
Wed,2022-07-20,47.6,53.2,47.6,53.2
Tue,2022-07-19,39.6,46.6,39.4,46.6
Mon,2022-07-18,36.0,39.6,36.0,39.6
Fri,2022-07-15,29.2,32.0,29.0,32.0
Thu,2022-07-14,30.2,30.2,27.4,28.2
Wed,2022-07-13,33.6,33.6,31.8,31.8
Tue,2022-07-12,35.0,36.2,34.8,35.8
Mon,2022-07-11,35.4,35.4,35.0,35.0
Fri,2022-07-08,34.4,35.6,34.4,35.6
Thu,2022-07-07,31.6,34.2,31.6,34.2
Wed,2022-07-06,30.6,31.0,30.6,31.0
Tue,2022-07-05,31.8,31.8,29.2,29.8
Fri,2022-07-01,32.4,33.0,32.0,32.0
Thu,2022-06-30,34.4,34.4,32.2,32.6
Wed,2022-06-29,36.6,36.8,35.0,35.0
Tue,2022-06-28,36.0,37.8,36.0,37.6
Mon,2022-06-27,32.8,34.8,32.8,34.8
Fri,2022-06-24,22.8,30.6,22.8,30.6
Thu,2022-06-23,16.8,22.0,16.8,22.0
Wed,2022-06-22,14.4,16.0,14.2,16.0
Tue,2022-06-21,12.2,14.6,12.0,14.6
Fri,2022-06-17,12.4,12.6,11.4,11.6
Thu,2022-06-16,18.2,18.2,12.4,12.4
Wed,2022-06-15,21.4,21.4,18.8,18.8
Tue,2022-06-14,24.2,24.2,21.4,21.4
Mon,2022-06-13,35.2,35.2,24.2,24.2
Fri,2022-06-10,50.6,50.8,42.6,42.6
Thu,2022-06-09,62.4,62.4,57.6,57.6
Wed,2022-06-08,62.2,62.8,62.2,62.4
Tue,2022-06-07,62.0,62.0,61.2,62.0
Mon,2022-06-06,63.0,63.2,63.0,63.0
Fri,2022-06-03,62.6,62.8,62.4,62.6
Thu,2022-06-02,60.8,62.6,60.4,62.6
Wed,2022-06-01,60.4,61.2,60.4,60.6
Tue,2022-05-31,59.6,60.0,59.4,60.0
Fri,2022-05-27,50.6,58.4,50.6,58.4
Thu,2022-05-26,35.8,46.8,35.8,46.8
Wed,2022-05-25,29.6,34.0,29.6,34.0
Tue,2022-05-24,30.0,30.0,28.8,29.8
Mon,2022-05-23,27.2,29.8,27.2,29.8
Fri,2022-05-20,29.6,29.6,26.4,26.4
Thu,2022-05-19,30.0,30.0,28.6,29.4
Wed,2022-05-18,35.2,35.4,31.2,31.2
Tue,2022-05-17,33.4,36.0,33.4,36.0
Mon,2022-05-16,30.8,31.8,30.8,31.8
Fri,2022-05-13,24.2,30.6,24.2,30.6
Thu,2022-05-12,25.8,25.8,23.6,23.6
Wed,2022-05-11,29.4,29.4,26.6,26.6
Tue,2022-05-10,34.2,34.2,29.4,29.4
Mon,2022-05-09,40.2,40.2,34.0,34.0
Fri,2022-05-06,44.8,44.8,40.8,41.2
Thu,2022-05-05,47.4,47.4,45.4,45.4
Wed,2022-05-04,40.6,47.2,40.4,47.2
Tue,2022-05-03,36.8,39.2,36.8,39.2
Mon,2022-05-02,40.8,40.8,36.0,36.2
Fri,2022-04-29,43.2,43.4,41.0,41.0
Thu,2022-04-28,41.6,43.4,41.0,43.4
Wed,2022-04-27,43.0,43.2,41.4,41.4
Tue,2022-04-26,46.6,46.8,43.8,43.8
Mon,2022-04-25,52.2,52.2,46.6,46.6
Fri,2022-04-22,63.6,63.6,56.0,56.0
Thu,2022-04-21,64.8,64.8,63.2,63.2
Wed,2022-04-20,62.0,64.0,62.0,64.0
Tue,2022-04-19,58.2,60.0,58.2,60.0
Mon,2022-04-18,60.0,60.2,58.2,58.2
Thu,2022-04-14,60.8,61.2,60.8,61.0
Wed,2022-04-13,61.4,61.6,60.6,60.8
Tue,2022-04-12,63.4,63.6,62.0,62.0
Mon,2022-04-11,63.6,64.2,63.4,63.6
Fri,2022-04-08,63.8,64.8,63.8,64.6
Thu,2022-04-07,63.4,63.6,63.0,63.6
Wed,2022-04-06,66.4,66.4,63.4,63.4
Tue,2022-04-05,70.8,71.0,68.6,68.6
Mon,2022-04-04,71.8,71.8,70.8,70.8
Fri,2022-04-01,75.0,75.0,72.0,72.0
Thu,2022-03-31,76.0,76.2,74.8,74.8
Wed,2022-03-30,76.2,76.6,76.0,76.0
Tue,2022-03-29,72.8,76.0,72.2,76.0
Mon,2022-03-28,69.2,69.8,69.2,69.8
Fri,2022-03-25,69.6,70.0,69.0,69.2
Thu,2022-03-24,69.2,69.4,68.6,69.4
Wed,2022-03-23,70.0,70.2,69.2,69.2
Tue,2022-03-22,67.6,70.2,67.6,70.0
Mon,2022-03-21,65.8,67.2,65.8,67.2
Fri,2022-03-18,58.4,64.8,58.4,64.8
Thu,2022-03-17,51.6,57.2,51.6,57.2
Wed,2022-03-16,39.2,51.2,39.2,51.2
Tue,2022-03-15,34.8,37.0,34.8,37.0
Mon,2022-03-14,35.6,36.6,35.2,35.6
Fri,2022-03-11,35.2,36.6,35.2,36.2
Thu,2022-03-10,36.8,36.8,34.8,34.8
Wed,2022-03-09,36.8,37.0,36.6,36.6
Tue,2022-03-08,39.0,39.2,37.0,37.0
Mon,2022-03-07,41.6,41.8,39.6,39.6
Fri,2022-03-04,43.2,43.2,40.8,41.6
Thu,2022-03-03,41.8,44.6,41.6,44.2
Wed,2022-03-02,37.8,40.4,37.8,40.4
Tue,2022-03-01,37.4,38.4,37.0,37.0
Mon,2022-02-28,36.2,37.4,36.2,37.4
Fri,2022-02-25,31.8,35.8,31.8,35.8
Thu,2022-02-24,32.8,33.4,31.0,31.0
Wed,2022-02-23,43.0,43.0,39.4,39.4
Tue,2022-02-22,48.0,48.0,43.2,43.2
Fri,2022-02-18,50.0,50.0,48.0,48.0
Thu,2022-02-17,51.6,51.8,50.4,50.4
Wed,2022-02-16,52.0,52.0,51.6,51.8
