time,open,high,low,close
2012-12-28T06:30:00-08:00,93.00999,93.24001,92.86,92.95
2012-12-31T06:30:00-08:00,92.97,93.39999,92.92999,93.35001
2013-01-02T06:30:00-08:00,94.07001,94.23,93.8,94.23
2013-01-03T06:30:00-08:00,94.08,94.28999,93.88,93.939
2013-01-04T06:30:00-08:00,93.98,94.08,93.83,94
2013-01-07T06:30:00-08:00,94.02,94.09,93.83,94.08
2013-01-08T06:30:00-08:00,94.10001,94.12,93.92999,94.00999
2013-01-09T06:30:00-08:00,94.24001,94.24001,94.00999,94.19
2013-01-10T06:30:00-08:00,94.33,94.38,94.2,94.35001
2013-01-11T06:30:00-08:00,94.3,94.52,94.21001,94.52
2013-01-14T06:30:00-08:00,94.45,94.47,94.22,94.39
2013-01-15T06:30:00-08:00,94.22,94.42,94.17,94.41
2013-01-16T06:30:00-08:00,94.28,94.39999,94.17,94.25
2013-01-17T06:30:00-08:00,94.42,94.61,94.31,94.59
2013-01-18T06:30:00-08:00,94.53999,94.72,94.48,94.72
2013-01-22T06:30:00-08:00,94.64999,94.87,94.53999,94.78
2013-01-23T06:30:00-08:00,94.71001,94.785,94.64999,94.67
2013-01-24T06:30:00-08:00,94.77,94.92999,94.69,94.88
2013-01-25T06:30:00-08:00,94.97,94.97,94.78,94.85001
2013-01-28T06:30:00-08:00,94.77,94.84,94.69,94.8
2013-01-29T06:30:00-08:00,94.71001,94.75,94.53999,94.64
2013-01-30T06:30:00-08:00,94.45,94.50999,93.89,93.96001
2013-01-31T06:30:00-08:00,93.92999,94.11,93.62,93.67
2013-02-01T06:30:00-08:00,93.53999,93.75999,93.46001,93.48
2013-02-04T06:30:00-08:00,93.28999,93.39999,93.00999,93.09
2013-02-05T06:30:00-08:00,93.24001,93.39999,93.2,93.3
2013-02-06T06:30:00-08:00,93.16,93.28999,93.06,93.16
2013-02-07T06:30:00-08:00,93.11,93.13,92.81,92.98
2013-02-08T06:30:00-08:00,92.92,93.10001,92.91,93
2013-02-11T06:30:00-08:00,92.89,93.08,92.86,92.99001
2013-02-12T06:30:00-08:00,92.92,93.36,92.91,93.31
2013-02-13T06:30:00-08:00,93.42,93.479,93.17,93.45
2013-02-14T06:30:00-08:00,93.25,93.55,93.25,93.41
2013-02-15T06:30:00-08:00,93.46001,93.66,93.25999,93.42
2013-02-19T06:30:00-08:00,93.5,93.59,93.41,93.50999
2013-02-20T06:30:00-08:00,93.58,93.72,93.39999,93.42
2013-02-21T06:30:00-08:00,93.42,93.59,93.3,93.52
2013-02-22T06:30:00-08:00,93.63,93.75,93.509,93.75
2013-02-25T06:30:00-08:00,93.78,93.92999,93.45,93.46001
2013-02-26T06:30:00-08:00,93.64,93.92,93.47,93.92
2013-02-27T06:30:00-08:00,93.85001,94.14999,93.75,94.08
2013-02-28T06:30:00-08:00,94.07001,94.13,93.94,94.03999
2013-03-01T06:30:00-08:00,93.49001,93.99001,93.48,93.72
2013-03-04T06:30:00-08:00,93.64999,93.8,93.61,93.73
2013-03-05T06:30:00-08:00,93.78999,94.02,93.78999,93.92
2013-03-06T06:30:00-08:00,94.03,94.06,93.84,93.86
2013-03-07T06:30:00-08:00,93.95,94,93.89999,94
2013-03-08T06:30:00-08:00,94.17,94.19,93.92,94.11
2013-03-11T06:30:00-07:00,94.08,94.14999,94,94.05
2013-03-12T06:30:00-07:00,93.99001,94.10001,93.96001,94.00999
2013-03-13T06:30:00-07:00,94.10001,94.17,93.95,94.03
2013-03-14T06:30:00-07:00,94.17,94.39,94.07001,94.39
2013-03-15T06:30:00-07:00,94.25,94.39999,94.2,94.38
2013-03-18T06:30:00-07:00,94,94.46001,94,94.39999
2013-03-19T06:30:00-07:00,94.45,94.53,94.205,94.24001
2013-03-20T06:30:00-07:00,94.33,94.595,94.32001,94.55
2013-03-21T06:30:00-07:00,94.37,94.556,94.22,94.38
2013-03-22T06:30:00-07:00,94.38,94.4563,94.25,94.31
2013-03-25T06:30:00-07:00,94.3,94.44,94.14999,94.17
2013-03-26T06:30:00-07:00,94.39,94.39999,94.255,94.34
2013-03-27T06:30:00-07:00,94.19,94.295,94.17,94.17999
2013-03-28T06:30:00-07:00,94.235,94.38,94.16,94.35001
2013-04-01T06:30:00-07:00,93.83,94.09,93.64999,94.03
2013-04-02T06:30:00-07:00,93.95,94.181,93.92,93.96001
2013-04-03T06:30:00-07:00,93.99001,94.05,93.78,93.96001
2013-04-04T06:30:00-07:00,93.92,94.14999,93.87,93.92999
2013-04-05T06:30:00-07:00,93.77,94.02,93.67999,94.02
2013-04-08T06:30:00-07:00,94.07001,94.14999,93.95,94.12
2013-04-09T06:30:00-07:00,94.2,94.42,94.12,94.42
2013-04-10T06:30:00-07:00,94.35001,94.75999,94.35001,94.72
2013-04-11T06:30:00-07:00,94.75,94.78999,94.64,94.72099
2013-04-12T06:30:00-07:00,94.64,94.81,94.55,94.75
2013-04-15T06:30:00-07:00,94.75,94.75,94.13,94.14999
2013-04-16T06:30:00-07:00,94.41,94.81,94.3201,94.8
2013-04-17T06:30:00-07:00,94.61,94.67,94.39999,94.64999
2013-04-18T06:30:00-07:00,94.61,94.67,94.46001,94.5
2013-04-19T06:30:00-07:00,94.60001,94.66,94.42999,94.45
2013-04-22T06:30:00-07:00,94.69,94.89,94.53,94.67
2013-04-23T06:30:00-07:00,94.77,95.05,94.77,95.03999
2013-04-24T06:30:00-07:00,95.09,95.25999,95.00999,95.21001
2013-04-25T06:30:00-07:00,95.22,95.52,95.14,95.47
2013-04-26T06:30:00-07:00,95.46001,95.48,95.33,95.37
2013-04-29T06:30:00-07:00,95.39,95.59,95.38,95.55
2013-04-30T06:30:00-07:00,95.63,95.85001,95.55,95.85001
2013-05-01T06:30:00-07:00,95.34,95.56,95.17999,95.2
2013-05-02T06:30:00-07:00,95.5,95.83,95.37,95.8101
2013-05-03T06:30:00-07:00,95.97,96.1301,95.86,95.96001
2013-05-06T06:30:00-07:00,95.92,96.06,95.88,96.02
