time,open,high,low,close,Overbought,Oversold
2013-01-02T06:30:00-08:00,0.882,1.123,0.799,0.973,0,0
2013-01-03T06:30:00-08:00,0.671,0.86,0.613,0.839,0,0
2013-01-04T06:30:00-08:00,0.826,1.056,0.782,0.822,0,0
2013-01-07T06:30:00-08:00,0.787,1.072,0.652,0.891,0,0
2013-01-08T06:30:00-08:00,0.808,1.041,0.808,0.953,0,0
2013-01-09T06:30:00-08:00,0.958,1.179,0.818,0.854,0,0
2013-01-10T06:30:00-08:00,0.699,0.832,0.667,0.785,0,0
2013-01-11T06:30:00-08:00,1.187,1.187,0.589,0.725,0,0
2013-01-14T06:30:00-08:00,0.787,1.018,0.787,0.828,0,0
2013-01-15T06:30:00-08:00,1.064,1.095,0.944,1.033,0,0
2013-01-16T06:30:00-08:00,1.697,1.697,0.793,0.873,0,0
2013-01-17T06:30:00-08:00,0.99,0.99,0.674,0.787,0,0
2013-01-18T06:30:00-08:00,0.789,0.814,0.626,0.745,0,0
2013-01-22T06:30:00-08:00,0.798,1.168,0.798,0.946,0,0
2013-01-23T06:30:00-08:00,0.958,1.099,0.824,0.893,0,0
2013-01-24T06:30:00-08:00,0.662,0.884,0.662,0.877,0,0
2013-01-25T06:30:00-08:00,0.88,1.038,0.848,0.876,0,0
2013-01-28T06:30:00-08:00,1.016,1.078,0.824,0.969,0,0
2013-01-29T06:30:00-08:00,0.962,1.086,0.933,0.966,0,0
2013-01-30T06:30:00-08:00,0.734,1.052,0.712,0.947,0,0
2013-01-31T06:30:00-08:00,0.84,1.105,0.75,0.91,0,0
2013-02-01T06:30:00-08:00,1.039,1.055,0.801,0.898,0,0
2013-02-04T06:30:00-08:00,0.803,1.156,0.694,1.104,0,0
2013-02-05T06:30:00-08:00,0.908,1.488,0.86,0.947,0,0
2013-02-06T06:30:00-08:00,0.979,1.066,0.793,0.975,0,0
2013-02-07T06:30:00-08:00,0.961,1.088,0.872,1.029,0,0
2013-02-08T06:30:00-08:00,0.767,0.942,0.563,0.904,0,0
2013-02-11T06:30:00-08:00,0.673,1.159,0.647,1.076,0,0
2013-02-12T06:30:00-08:00,0.992,1.133,0.898,0.92,0,0
2013-02-13T06:30:00-08:00,1.249,1.249,0.721,0.916,0,0
2013-02-14T06:30:00-08:00,0.775,0.989,0.665,0.832,0,0
2013-02-15T06:30:00-08:00,0.91,0.971,0.829,0.885,0,0
2013-02-19T06:30:00-08:00,0.835,1.096,0.794,0.993,0,0
2013-02-20T06:30:00-08:00,1.356,1.408,1.03,1.144,0,0
2013-02-21T06:30:00-08:00,0.895,1.136,0.895,1.105,0,0
2013-02-22T06:30:00-08:00,0.809,1.065,0.77,0.904,0,0
2013-02-25T06:30:00-08:00,1.104,1.196,0.898,1.168,0,0
2013-02-26T06:30:00-08:00,0.807,1.145,0.807,1.098,0,0
2013-02-27T06:30:00-08:00,1.206,1.321,0.917,0.988,0,0
2013-02-28T06:30:00-08:00,0.865,0.977,0.837,0.977,0,0
2013-03-01T06:30:00-08:00,1.195,1.364,1.143,1.167,0,0
2013-03-04T06:30:00-08:00,0.907,1.171,0.808,1.121,0,0
2013-03-05T06:30:00-08:00,1.523,1.614,1.094,1.118,0,0
2013-03-06T06:30:00-08:00,0.716,0.882,0.676,0.711,0,0
2013-03-07T06:30:00-08:00,0.834,0.865,0.599,0.829,0,0
2013-03-08T06:30:00-08:00,0.941,1.172,0.893,0.921,0,0
2013-03-11T06:30:00-07:00,0.793,1.017,0.718,0.934,0,0
2013-03-12T06:30:00-07:00,1.025,1.08,0.778,1.08,0,0
2013-03-13T06:30:00-07:00,0.817,0.82,0.713,0.786,0,0
2013-03-14T06:30:00-07:00,0.825,0.927,0.648,0.733,0,0
2013-03-15T06:30:00-07:00,0.758,0.939,0.701,0.849,0,0
2013-03-18T06:30:00-07:00,1.118,1.371,0.833,0.908,0,0
2013-03-19T06:30:00-07:00,0.96,1.174,0.916,0.969,0,0
2013-03-20T06:30:00-07:00,1.584,1.584,0.715,0.746,0,0
2013-03-21T06:30:00-07:00,1.032,1.057,0.819,0.86,0,0
2013-03-22T06:30:00-07:00,1.048,1.069,0.757,0.915,0,0
2013-03-25T06:30:00-07:00,0.878,0.936,0.486,0.892,0,0
2013-03-26T06:30:00-07:00,0.712,0.899,0.645,0.793,0,0
2013-03-27T06:30:00-07:00,1.011,1.011,0.749,0.92,0,0
2013-03-28T06:30:00-07:00,1.221,1.221,0.836,0.896,0,0
2013-04-01T06:30:00-07:00,0.823,1.054,0.79,1.005,0,0
2013-04-02T06:30:00-07:00,0.967,1.124,0.771,0.866,0,0
2013-04-03T06:30:00-07:00,1.387,1.395,0.996,1.063,0,0
2013-04-04T06:30:00-07:00,0.959,1.103,0.801,1.091,0,0
2013-04-05T06:30:00-07:00,1.149,1.315,1.001,1.001,0,0
2013-04-08T06:30:00-07:00,1.106,1.245,0.896,0.905,0,0
2013-04-09T06:30:00-07:00,0.918,1.063,0.673,0.673,0,0
2013-04-10T06:30:00-07:00,1.189,1.189,0.799,0.856,0,0
2013-04-11T06:30:00-07:00,0.956,1.041,0.84,0.879,0,0
2013-04-12T06:30:00-07:00,0.991,1.444,0.968,1.154,0,0
2013-04-15T06:30:00-07:00,0.924,1.178,0.917,1.089,0,0
2013-04-16T06:30:00-07:00,1.063,1.227,0.854,0.881,0,0
2013-04-17T06:30:00-07:00,1.641,1.641,1.044,1.191,0,0
2013-04-18T06:30:00-07:00,1.152,1.306,1.056,1.176,0,0
2013-04-19T06:30:00-07:00,1.154,1.171,1.049,1.099,0,0
2013-04-22T06:30:00-07:00,1.121,1.424,1.006,1.037,0,0
2013-04-23T06:30:00-07:00,0.588,0.898,0.588,0.897,0,0
2013-04-24T06:30:00-07:00,0.934,1.082,0.773,0.788,0,0
2013-04-25T06:30:00-07:00,0.934,3.449,0.751,0.969,0,0
2013-04-26T06:30:00-07:00,1.077,1.141,0.782,0.897,0,0
2013-04-29T06:30:00-07:00,0.746,1.082,0.742,0.904,0,0
2013-04-30T06:30:00-07:00,0.756,0.886,0.572,0.885,0,0
2013-05-01T06:30:00-07:00,1.283,1.294,0.932,1.053,0,0
2013-05-02T06:30:00-07:00,0.475,0.981,0.475,0.911,0,0
2013-05-03T06:30:00-07:00,0.83,0.907,0.711,0.901,0,0
2013-05-06T06:30:00-07:00,0.633,0.863,0.633,0.776,0,0
2013-05-07T06:30:00-07:00,0.685,0.898,0.685,0.886,0,0
2013-05-08T06:30:00-07:00,1.021,1.039,0.818,0.875,0,0
2013-05-09T06:30:00-07:00,0.841,1.16,0.803,0.999,0,0
2013-05-10T06:30:00-07:00,1.022,1.087,0.638,0.752,0,0
2013-05-13T06:30:00-07:00,0.727,0.889,0.727,0.884,0,0
2013-05-14T06:30:00-07:00,0.664,0.874,0.618,0.814,0,0
2013-05-15T06:30:00-07:00,0.663,0.883,0.658,0.784,0,0
2013-05-16T06:30:00-07:00,1.147,1.158,0.873,0.988,0,0
2013-05-17T06:30:00-07:00,0.704,0.846,0.619,0.813,0,0
2013-05-20T06:30:00-07:00,0.667,0.798,0.58,0.797,0,0
2013-05-21T06:30:00-07:00,1.156,1.156,0.752,0.924,0,0
2013-05-22T06:30:00-07:00,1.106,1.169,0.752,1.034,0,0
2013-05-23T06:30:00-07:00,1.286,1.286,0.953,1.012,0,0
2013-05-24T06:30:00-07:00,0.886,1.286,0.876,1.266,0,0
2013-05-28T06:30:00-07:00,0.666,1.129,0.647,0.977,0,0
2013-05-29T06:30:00-07:00,0.746,0.861,0.611,0.859,0,0
2013-05-30T06:30:00-07:00,0.7,0.88,0.68,0.866,0,0
2013-05-31T06:30:00-07:00,0.908,1.2,0.882,1.199,0,0
2013-06-03T06:30:00-07:00,0.781,0.925,0.714,0.919,0,0
2013-06-04T06:30:00-07:00,0.886,1.18,0.855,1.158,0,0
2013-06-05T06:30:00-07:00,1.253,1.253,0.931,1.181,0,0
2013-06-06T06:30:00-07:00,1.545,1.545,1.154,1.216,0,0
2013-06-07T06:30:00-07:00,0.883,1.195,0.814,1.127,0,0
2013-06-10T06:30:00-07:00,0.912,1.155,0.811,1.08,0,0
2013-06-11T06:30:00-07:00,0.995,1.053,0.794,1.037,0,0
2013-06-12T06:30:00-07:00,1.093,1.609,0.967,1.196,0,0
2013-06-13T06:30:00-07:00,0.917,1.09,0.886,0.982,0,0
2013-06-14T06:30:00-07:00,0.835,1.246,0.797,1.188,0,0
2013-06-17T06:30:00-07:00,0.85,1.118,0.789,0.958,0,0
2013-06-18T06:30:00-07:00,1.073,1.073,0.77,0.861,0,0
2013-06-19T06:30:00-07:00,1.222,1.222,0.726,1.106,0,0
2013-06-20T06:30:00-07:00,1.624,1.67,1.175,1.39,0,0
2013-06-21T06:30:00-07:00,1.252,1.419,1.162,1.169,0,0
2013-06-24T06:30:00-07:00,0.998,1.106,0.882,1.012,0,0
2013-06-25T06:30:00-07:00,1.108,1.379,1.068,1.074,0,0
2013-06-26T06:30:00-07:00,0.912,1.079,0.686,0.854,0,0
2013-06-27T06:30:00-07:00,0.864,1.025,0.801,1.019,0,0
2013-06-28T06:30:00-07:00,0.842,1.134,0.839,0.966,0,0
2013-07-01T06:30:00-07:00,0.817,0.952,0.781,0.912,0,0
2013-07-02T06:30:00-07:00,0.737,1.099,0.737,1.043,0,0
2013-07-03T06:30:00-07:00,0.875,1.146,0.797,1.138,0,0
2013-07-05T06:30:00-07:00,1.05,1.105,0.926,0.967,0,0
2013-07-08T06:30:00-07:00,1.265,1.357,0.964,1.046,0,0
2013-07-09T06:30:00-07:00,0.944,1.168,0.93,1.016,0,0
2013-07-10T06:30:00-07:00,0.92,1.349,0.888,1.033,0,0
2013-07-11T06:30:00-07:00,1.014,1.223,1,1.015,0,0
2013-07-12T06:30:00-07:00,0.895,1.129,0.622,0.895,0,0
2013-07-15T06:30:00-07:00,0.956,1.007,0.768,0.831,0,0
2013-07-16T06:30:00-07:00,0.992,1.087,0.876,0.98,0,0
2013-07-17T06:30:00-07:00,1.773,1.773,0.92,0.922,0,0
2013-07-18T06:30:00-07:00,0.849,0.986,0.707,0.741,0,0
2013-07-19T06:30:00-07:00,1.045,1.045,0.752,0.794,0,0
2013-07-22T06:30:00-07:00,0.807,1.063,0.78,0.935,0,0
2013-07-23T06:30:00-07:00,0.665,0.96,0.665,0.931,0,0
2013-07-24T06:30:00-07:00,0.868,0.997,0.821,0.963,0,0
2013-07-25T06:30:00-07:00,0.838,0.984,0.821,0.96,0,0
2013-07-26T06:30:00-07:00,0.838,2.665,0.643,0.989,0,0
2013-07-29T06:30:00-07:00,0.664,0.947,0.664,0.841,0,0
2013-07-30T06:30:00-07:00,0.696,0.815,0.623,0.783,0,0
2013-07-31T06:30:00-07:00,0.763,0.894,0.73,0.883,0,0
2013-08-01T06:30:00-07:00,0.716,0.942,0.699,0.846,0,0
2013-08-02T06:30:00-07:00,0.997,0.997,0.875,0.876,0,0
2013-08-05T06:30:00-07:00,0.957,1.009,0.838,0.852,0,0
2013-08-06T06:30:00-07:00,1.326,1.408,0.725,0.897,0,0
2013-08-07T06:30:00-07:00,1.667,1.667,0.962,0.962,0,0
2013-08-08T06:30:00-07:00,0.818,0.818,0.703,0.766,0,0
2013-08-09T06:30:00-07:00,0.998,1.049,0.885,0.906,0,0
2013-08-12T06:30:00-07:00,0.759,0.8,0.616,0.766,0,0
2013-08-13T06:30:00-07:00,0.718,0.787,0.63,0.769,0,0
2013-08-14T06:30:00-07:00,0.711,0.849,0.667,0.796,0,0
2013-08-15T06:30:00-07:00,1.339,1.35,0.941,0.963,0,0
2013-08-16T06:30:00-07:00,0.857,0.976,0.767,0.938,0,0
2013-08-19T06:30:00-07:00,0.903,0.958,0.835,0.927,0,0
2013-08-20T06:30:00-07:00,0.908,1.08,0.806,0.897,0,0
2013-08-21T06:30:00-07:00,1.68,1.713,0.881,0.975,0,0
2013-08-22T06:30:00-07:00,0.612,0.827,0.59,0.824,0,0
2013-08-23T06:30:00-07:00,0.785,0.91,0.717,0.811,0,0
2013-08-26T06:30:00-07:00,0.639,1.032,0.639,0.899,0,0
2013-08-27T06:30:00-07:00,1.164,1.164,0.884,1.026,0,0
2013-08-28T06:30:00-07:00,0.723,0.833,0.706,0.808,0,0
2013-08-29T06:30:00-07:00,0.972,1.289,0.9,0.959,0,0
2013-08-30T06:30:00-07:00,1.002,1.142,0.873,1.123,0,0
2013-09-03T06:30:00-07:00,0.708,0.826,0.683,0.751,0,0
2013-09-04T06:30:00-07:00,0.838,0.849,0.723,0.768,0,0
2013-09-05T06:30:00-07:00,0.904,0.908,0.748,0.817,0,0
2013-09-06T06:30:00-07:00,0.911,1.057,0.853,0.866,0,0
2013-09-09T06:30:00-07:00,0.537,0.684,0.473,0.652,0,0
2013-09-10T06:30:00-07:00,0.815,0.838,0.707,0.764,0,0
2013-09-11T06:30:00-07:00,0.812,1.006,0.759,0.919,0,0
2013-09-12T06:30:00-07:00,0.804,0.885,0.775,0.86,0,0
2013-09-13T06:30:00-07:00,0.927,0.948,0.725,0.768,0,0
2013-09-16T06:30:00-07:00,0.948,1.003,0.849,0.912,0,0
2013-09-17T06:30:00-07:00,1.067,1.067,0.72,0.798,0,0
2013-09-18T06:30:00-07:00,1.198,1.198,0.731,0.84,0,0
2013-09-19T06:30:00-07:00,0.683,0.958,0.64,0.765,0,0
2013-09-20T06:30:00-07:00,1.38,1.38,0.911,1.053,0,0
2013-09-23T06:30:00-07:00,0.764,0.999,0.749,0.999,0,0
2013-09-24T06:30:00-07:00,0.783,0.876,0.705,0.875,0,0
2013-09-25T06:30:00-07:00,0.8,1.018,0.736,0.965,0,0
2013-09-26T06:30:00-07:00,0.759,0.759,0.426,0.704,0,0
2013-09-27T06:30:00-07:00,0.782,0.972,0.726,0.942,0,0
