time,open,high,low,close,Overbought,Oversold
2013-01-02T00:10:00-08:00,15.24,15.93,14.6,14.68,0,0
2013-01-03T00:10:00-08:00,14.77,14.92,14.24,14.56,0,0
2013-01-04T00:10:00-08:00,14.23,14.31,13.64,13.83,0,0
2013-01-07T00:10:00-08:00,14.53,14.53,13.71,13.79,0,0
2013-01-08T00:10:00-08:00,13.88,14.29,13.62,13.62,0,0
2013-01-09T00:10:00-08:00,13.32,13.93,13.22,13.81,0,0
2013-01-10T00:10:00-08:00,13.33,13.88,13.33,13.49,0,0
2013-01-11T00:10:00-08:00,13.55,13.79,13.22,13.36,0,0
2013-01-14T00:10:00-08:00,13.66,13.85,13.41,13.52,0,0
2013-01-15T00:10:00-08:00,13.97,13.99,13.33,13.55,0,0
2013-01-16T00:10:00-08:00,13.7,13.76,13.2,13.42,0,0
2013-01-17T00:10:00-08:00,13.45,13.7,13.16,13.57,0,0
2013-01-18T00:10:00-08:00,13.52,13.53,12.29,12.46,0,0
2013-01-22T00:10:00-08:00,13.28,13.32,12.43,12.43,0,0
2013-01-23T00:10:00-08:00,12.67,12.67,12.3,12.46,0,0
2013-01-24T00:10:00-08:00,12.73,13.5,12.4,12.69,0,0
2013-01-25T00:10:00-08:00,12.63,12.99,12.5,12.89,0,0
2013-01-28T00:10:00-08:00,13.29,13.91,13.29,13.57,0,0
2013-01-29T00:10:00-08:00,13.87,13.88,13.04,13.31,0,0
2013-01-30T00:10:00-08:00,13.64,14.33,13.6,14.32,0,0
2013-01-31T00:10:00-08:00,14.43,14.43,14.04,14.28,0,0
2013-02-01T00:10:00-08:00,13.37,13.38,12.72,12.9,0,0
2013-02-04T00:10:00-08:00,14,14.75,13.8,14.67,0,0
2013-02-05T00:10:00-08:00,14.21,14.21,13.39,13.72,0,0
2013-02-06T00:10:00-08:00,14.06,14.08,13.34,13.41,0,0
2013-02-07T00:10:00-08:00,13.47,14.41,13.43,13.5,0,0
2013-02-08T00:10:00-08:00,13.2,13.2,12.89,13.02,0,0
2013-02-11T00:10:00-08:00,13.37,13.42,12.91,12.94,0,0
2013-02-12T00:10:00-08:00,12.82,13.13,12.63,12.64,0,0
2013-02-13T00:10:00-08:00,12.88,13.19,12.67,12.98,0,0
2013-02-14T00:10:00-08:00,13.3,13.32,12.64,12.66,0,0
2013-02-15T00:10:00-08:00,12.47,12.89,12.24,12.46,0,0
2013-02-19T00:10:00-08:00,12.81,12.85,12.08,12.31,0,0
2013-02-20T00:10:00-08:00,12.32,14.68,12.32,14.68,0,0
2013-02-21T00:10:00-08:00,14.68,16.21001,14.67,15.22,0,0
2013-02-22T00:10:00-08:00,14.6,15.02,14.16,14.17,0,0
2013-02-25T00:10:00-08:00,13.69,19.28,13.57,18.99001,0,0
2013-02-26T00:10:00-08:00,17.5,18.23,16.75,16.87,0,0
