time,open,high,low,close,Volume,Volume MA
2003-03-14T06:30:00-08:00,22.17999,22.35001,21.98,22.05,287600,218935
2003-03-17T06:30:00-08:00,22.00999,23.2,22,23.11,1039200,269170
2003-03-18T06:30:00-08:00,23.25,23.28,22.85001,22.96001,377600,285875
2003-03-19T06:30:00-08:00,23.2,23.39999,22.87,23.39999,137800,291115
2003-03-20T06:30:00-08:00,23.22,23.60001,22.88,23.58,577400,318575
2003-03-21T06:30:00-08:00,23.75,24.28,23.53,24.28,217400,325565
2003-03-24T06:30:00-08:00,23.55,23.58,23.10001,23.17,55500,326500
2003-03-25T06:30:00-08:00,23.19,23.67,23.10001,23.50999,34000,323270
2003-03-26T06:30:00-08:00,23.28999,23.61,23.28999,23.53999,205300,329330
2003-03-27T06:30:00-08:00,23.2,23.55,23.13,23.45,32800,327145
2003-03-28T06:30:00-08:00,23.25,23.39999,23.07001,23.21001,63200,327655
2003-03-31T06:30:00-08:00,22.84,23.10001,22.55,22.73,881100,369300
2003-04-01T06:30:00-08:00,22.73,23.03,22.61,23,1005100,416985
2003-04-02T06:30:00-08:00,23.35001,23.78,23.34,23.60001,668300,445970
2003-04-03T06:30:00-08:00,23.89999,23.92,23.66,23.72,1354800,510580
2003-04-04T06:30:00-08:00,23.85001,23.89,23.61,23.89,130300,513905
2003-04-07T06:30:00-07:00,24.47,24.64,24.10001,24.10001,65300,512110
2003-04-08T06:30:00-07:00,24,24.21001,23.86,24.12,66800,441300
2003-04-09T06:30:00-07:00,24.09,24.23,23.8,23.8,277600,387685
2003-04-10T06:30:00-07:00,23.64999,24.08,23.62,24.07001,44600,376085
2003-04-11T06:30:00-07:00,24.39999,24.39999,23.82001,23.82001,333300,378370
2003-04-14T06:30:00-07:00,23.8,24.44,23.8,24.42999,147100,333765
2003-04-15T06:30:00-07:00,24.39999,24.64999,24.35001,24.61,425300,336150
2003-04-16T06:30:00-07:00,24.85001,24.85001,23.35001,24.27,161100,337315
2003-04-17T06:30:00-07:00,24.28,24.75999,24.21001,24.73,81100,312500
2003-04-21T06:30:00-07:00,24.75,24.81,24.5,24.74001,41000,303680
2003-04-22T06:30:00-07:00,24.60001,25.32001,24.53999,25.24001,68900,304350
2003-04-23T06:30:00-07:00,25.42999,25.52,25.17,25.5,475600,326430
2003-04-24T06:30:00-07:00,25.2,25.28,25,25.10001,181400,325235
2003-04-25T06:30:00-07:00,25.09,25.09,24.71001,24.72,335600,340375
2003-04-28T06:30:00-07:00,24.94,25.38,24.94,25.28999,20900,338260
2003-04-29T06:30:00-07:00,25.39999,25.64999,25.28999,25.5,35400,295975
2003-04-30T06:30:00-07:00,25.28999,25.52,25.25,25.39,74000,249420
2003-05-01T06:30:00-07:00,25.39,25.39,24.84,25.16,37400,217875
2003-05-02T06:30:00-07:00,25.07001,25.45,25.07001,25.39999,126200,156445
2003-05-05T06:30:00-07:00,25.39999,25.39999,25.12,25.31,126400,156250
2003-05-06T06:30:00-07:00,25.32001,25.81,25.27,25.64,890800,197525
2003-05-07T06:30:00-07:00,25.35001,25.8,25.35001,25.62,105700,199470
2003-05-08T06:30:00-07:00,25.3,25.64,25.28999,25.38,42000,187690
2003-05-09T06:30:00-07:00,25.5,25.67,25.27,25.67,46200,187770
2003-05-12T06:30:00-07:00,25.56,26.21001,25.49001,26.06,108100,176510
2003-05-13T06:30:00-07:00,25.95,26.24001,25.92,26.03,319100,185110
2003-05-14T06:30:00-07:00,26.10001,26.10001,25.7,25.83,56700,166680
2003-05-15T06:30:00-07:00,26,26,25.56,25.89,178900,167570
2003-05-16T06:30:00-07:00,25.87,25.94,25.61,25.92999,919900,209510
2003-05-19T06:30:00-07:00,25.95,25.95,25.08,25.14999,213200,218120
2003-05-20T06:30:00-07:00,25.35001,25.60001,24.96001,25.16,262100,227780
2003-05-21T06:30:00-07:00,25.2,25.3,24.99001,25.27,33100,205655
2003-05-22T06:30:00-07:00,25.35001,25.82001,25.31,25.7,87800,200975
2003-05-23T06:30:00-07:00,25.55,25.67,25.48,25.61,65500,187470
2003-05-27T06:30:00-07:00,25.39999,26.2,25.39999,26.2,123900,192620
2003-05-28T06:30:00-07:00,26.3,26.44,26.17,26.21001,188500,200275
2003-05-29T06:30:00-07:00,26.3,26.61,26.17999,26.17999,189500,206050
2003-05-30T06:30:00-07:00,26.52,26.77,26.49001,26.74001,307700,219565
2003-06-02T06:30:00-07:00,27.05,27.37,26.92999,26.99001,1025300,264520
2003-06-03T06:30:00-07:00,27.05,27.06,26.67999,26.95,806000,298500
2003-06-04T06:30:00-07:00,27,27.42999,26.95,27.37,406900,274305
2003-06-05T06:30:00-07:00,27.42999,27.64,27.13,27.52,175400,277790
2003-06-06T06:30:00-07:00,27.85001,28.00999,27.32001,27.38,136100,282495
2003-06-09T06:30:00-07:00,27.3,27.33,26.85001,26.99001,458500,303110
2003-06-10T06:30:00-07:00,27.05,27.28999,27.05,27.28999,395500,317480
2003-06-11T06:30:00-07:00,27.14999,27.64999,27.14,27.59,157000,309375
2003-06-12T06:30:00-07:00,27.85001,27.85001,27.50999,27.75999,73900,310235
2003-06-13T06:30:00-07:00,27.85001,27.85001,27.39,27.46001,19900,302285
2003-06-16T06:30:00-07:00,27.75,28.10001,27.69,28.10001,171400,264860
2003-06-17T06:30:00-07:00,28.2,28.25999,27.97,28.10001,171200,262760
2003-06-18T06:30:00-07:00,28.10001,28.10001,27.69,27.84,921100,295710
2003-06-19T06:30:00-07:00,27.75,27.89999,27.3,27.38,97600,298935
2003-06-20T06:30:00-07:00,27.52,27.52,27.25,27.38,97700,299430
2003-06-23T06:30:00-07:00,27.14999,27.27,26.82001,27.03999,82900,300300
2003-06-24T06:30:00-07:00,27.10001,27.28,26.94,27.03999,288800,308545
2003-06-25T06:30:00-07:00,27,27.25,26.78999,26.88,36500,300945
2003-06-26T06:30:00-07:00,27,27.11,26.8,27.08,704700,326705
2003-06-27T06:30:00-07:00,27.05,27.27,26.83,26.92,35700,313105
2003-06-30T06:30:00-07:00,27.13,27.27,26.99001,27.09,64200,265050
2003-07-01T06:30:00-07:00,26.85001,27.11,26.57001,27.03,527400,251120
2003-07-02T06:30:00-07:00,27.05,27.34,27.05,27.28,47200,233135
2003-07-03T06:30:00-07:00,27.05,27.5,27.05,27.25,49600,226845
2003-07-07T06:30:00-07:00,27.55,27.92999,27.55,27.8,262000,233140
2003-07-08T06:30:00-07:00,27.92999,28.19,27.84,28.19,267300,223580
2003-07-09T06:30:00-07:00,28,28.16,27.78999,27.84,107200,209165
2003-07-10T06:30:00-07:00,27.64999,27.7,27.25,27.48,46000,203615
2003-07-11T06:30:00-07:00,27.64999,27.89,27.59,27.89,73600,203600
2003-07-14T06:30:00-07:00,28.10001,28.44,28.03999,28.03999,72400,206225
2003-07-15T06:30:00-07:00,28,28.25,27.8,27.87,816800,238495
2003-07-16T06:30:00-07:00,28.03999,28.07001,27.67999,27.78999,33100,231590
2003-07-17T06:30:00-07:00,27.8,27.91,27.45,27.47,25000,186785
2003-07-18T06:30:00-07:00,27.72,27.78999,27.53,27.64999,21200,182965
2003-07-21T06:30:00-07:00,27.55,27.59,27.24001,27.34,22900,179225
2003-07-22T06:30:00-07:00,27.5,27.58,27.10001,27.53999,50900,177625
2003-07-23T06:30:00-07:00,27.60001,27.60001,27.14,27.42,75900,166980
2003-07-24T06:30:00-07:00,27.5,27.78999,27.39,27.39,47900,167550
2003-07-25T06:30:00-07:00,27.3,27.79201,27.25,27.75,301700,147400
2003-07-28T06:30:00-07:00,27.85001,27.94,27.7,27.89,81500,149690
2003-07-29T06:30:00-07:00,27.95,28.02,27.60001,27.71001,186300,155795
2003-07-30T06:30:00-07:00,27.71001,27.71001,27.47,27.53,20600,130455
2003-07-31T06:30:00-07:00,27.7,28,27.55,27.59,216600,138925
2003-08-01T06:30:00-07:00,27.64999,27.64999,27.39999,27.56,183800,145635
2003-08-04T06:30:00-07:00,27.31,27.46001,27,27.35001,50900,135080
2003-08-05T06:30:00-07:00,27.3,27.3,26.82001,26.89999,436800,143555
2003-08-06T06:30:00-07:00,26.8,27.21001,26.8,26.99001,118000,144095
2003-08-07T06:30:00-07:00,27.14999,27.27,26.98,27.22,72200,145405
2003-08-08T06:30:00-07:00,27.39999,27.53999,27.36,27.48,75400,145495
2003-08-11T06:30:00-07:00,27.45,27.64999,27.42999,27.60001,45000,144125
2003-08-12T06:30:00-07:00,27.7,27.97,27.55,27.97,76100,107090
2003-08-13T06:30:00-07:00,28.10001,28.10001,27.75999,27.87,136100,112240
2003-08-14T06:30:00-07:00,27.87,28.07001,27.66,28,58600,113920
2003-08-15T06:30:00-07:00,28.10001,28.2,28,28.2,28400,114280
2003-08-18T06:30:00-07:00,28.25,28.41,28.2,28.36,362700,131270
